DigitWidth, DigitLength, pointSize, method, R
55, 55, 3.75, GAUSSIAN, 0.99951017
55, 55, 3.75, CUBIC, 0.9926286
55, 55, 3.75, PARABOLIC, 0.99868923
55, 55, 3.75, BLAIS_RIOUX, 0.99721307
55, 55, 3.75, COM, 0.99885297
55, 55, 3.75, MICROCHIP, 0.99944055
55, 70, 1.25, NAIVE, 0.993396
55, 70, 1.25, LINEAR, 0.99140626
55, 70, 1.25, GAUSSIAN, 0.99382275
55, 70, 1.25, CUBIC, 0.9812002
55, 70, 1.25, PARABOLIC, 0.98295206
55, 70, 1.25, BLAIS_RIOUX, 0.9965193
55, 70, 1.25, COM, 0.9909962
55, 70, 1.25, MICROCHIP, 0.98600453
55, 70, 2.5, NAIVE, 0.9589636
55, 70, 2.5, LINEAR, 0.9952944
55, 70, 2.5, GAUSSIAN, 0.99560404
55, 70, 2.5, CUBIC, 0.987973
55, 70, 2.5, PARABOLIC, 0.9916833
55, 70, 2.5, BLAIS_RIOUX, 0.98590624
55, 70, 2.5, COM, 0.9967465
55, 70, 2.5, MICROCHIP, 0.9954413
55, 70, 3.75, NAIVE, 0.9980013
55, 70, 3.75, LINEAR, 0.9994344
55, 70, 3.75, GAUSSIAN, 0.99945074
55, 70, 3.75, CUBIC, 0.99043983
55, 70, 3.75, PARABOLIC, 0.997806
55, 70, 3.75, BLAIS_RIOUX, 0.99875724
55, 70, 3.75, COM, 0.99905825
55, 70, 3.75, MICROCHIP, 0.9996802
55, 85, 1.25, NAIVE, 0.99464965
55, 85, 1.25, LINEAR, 0.9968412
55, 85, 1.25, GAUSSIAN, 0.99906456
55, 85, 1.25, CUBIC, 0.9944424
55, 85, 1.25, PARABOLIC, 0.9941102
55, 85, 1.25, BLAIS_RIOUX, 0.9982656
55, 85, 1.25, COM, 0.99608916
55, 85, 1.25, MICROCHIP, 0.9945094
55, 85, 2.5, NAIVE, 0.9625155
55, 85, 2.5, LINEAR, 0.99627084
55, 85, 2.5, GAUSSIAN, 0.9932217
55, 85, 2.5, CUBIC, 0.990038
55, 85, 2.5, PARABOLIC, 0.99278283
55, 85, 2.5, BLAIS_RIOUX, 0.98776084
55, 85, 2.5, COM, 0.9955139
